gene,tmp_id,coefficient,pvalue_coef,intercept,pvalue_corrected
ENSG00000121716,chr7_100359506,-1.0991624329058038,5.756609826569003e-25,4.046082934307631,8.853090252280471e-21
ENSG00000102796,chr13_51791272,0.470840239330189,5.39514323615449e-16,-5.924928473594489,4.148595391440995e-12
ENSG00000101473,chr20_45842010,0.6060933839759207,5.033235247867376e-15,-7.058699021605443,2.580204162565079e-11
ENSG00000112414,chr6_142370814,-0.432043423155773,7.364989684102237e-15,6.573100680523672,2.8316544087952076e-11
ENSG00000241962,chr2_99319803,-0.3699702597231034,1.1949832013567806e-13,4.748427205682092,3.675529330733186e-10
ENSG00000151247,chr4_98881150,-0.5849125719222736,2.884563376180399e-13,5.995575374701825,6.895793484779627e-10
ENSG00000116514,chr1_32936734,-0.3314766429612769,3.138731672635242e-13,5.209345681290323,6.895793484779627e-10
ENSG00000139160,chr12_31667631,-0.4654396935271032,6.512851784630838e-12,5.7225202055342566,1.252014344947971e-08
ENSG00000198553,chr13_50011916,-0.5895106021154499,2.027984842435116e-11,6.774333385232255,3.1504973886989005e-08
ENSG00000165929,chr14_91797737,-0.712263215673995,2.0485710310806295e-11,13.888454912528072,3.1504973886989005e-08
ENSG00000135148,chr12_112142075,-0.7306323065538993,4.85805981796538e-11,7.747542995907026,6.792009267317233e-08
ENSG00000151366,chr11_78073101,0.869030040726694,5.7611128992722834e-11,-7.704763135473058,7.383346273159037e-08
ENSG00000067066,chr2_230498538,-0.7126188127446818,9.944072180947208e-11,8.412371145528311,1.1763837390060547e-07
ENSG00000096968,chr9_5122911,-0.7257608122047169,1.7240443597753568e-10,7.717768670766006,1.8938627292132296e-07
ENSG00000164308,chr5_96895155,-0.3643469028573213,2.2911005473035583e-10,3.950106478979248,2.348989021132095e-07
ENSG00000151135,chr12_106967099,-0.7113761531834797,7.277599481218734e-10,6.9669039756905,6.995137651353932e-07
ENSG00000134444,chr18_62275354,-0.36410396311609,1.5000420422674335e-09,4.305693224365995,1.3570086216488742e-06
ENSG00000173821,chr17_80369399,-0.4704571082968694,2.030931928033261e-09,7.641257366459848,1.7352056734013065e-06
ENSG00000138160,chr10_92606591,-0.3102656934905936,2.5868044602283004e-09,6.828963724044198,2.0938139891500544e-06
ENSG00000197183,chr20_32486641,0.6883012169383048,2.820364952126357e-09,-7.458893103040396,2.168719629937562e-06
ENSG00000164308,chr5_96884035,0.2602491907446408,3.234326197103826e-09,-2.8201827962843065,2.3686048850123687e-06
ENSG00000144029,chr2_95100809,-0.4967906548617707,3.819795038690962e-09,6.139575835849026,2.670210359092195e-06
ENSG00000163297,chr4_79984777,-0.5189656784045454,4.458132439955586e-09,5.104353145515093,2.980939947568563e-06
ENSG00000150961,chr4_118745063,-0.3481188223084537,5.669512780086641e-09,4.8440120551591495,3.554372191628008e-06
ENSG00000124116,chr20_45787715,0.6495530249650364,5.816372821314401e-09,-6.891761053557833,3.554372191628008e-06
ENSG00000120694,chr13_31148484,0.4023709069641088,6.00908231889773e-09,-6.147463489612563,3.554372191628008e-06
ENSG00000100744,chr14_96382229,-0.5476773806883793,6.513051007131239e-09,7.216458365159085,3.7097856088396785e-06
ENSG00000166477,chr15_51947421,-0.6048081546507108,7.666294976897524e-09,6.300272901161062,4.2091999940191676e-06
ENSG00000106069,chr7_29507148,0.3135824805607065,8.02758067925554e-09,-4.468765895892748,4.2091999940191676e-06
ENSG00000174695,chr5_83065120,-0.6739812119194769,8.210936980335198e-09,15.69092914194592,4.2091999940191676e-06
